,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,"Impact Alabama was founded in 2004 as the state's first nonprofit dedicated to developing substantive service-learning and leadership development projects for college students and recent college graduates. Growing from a team of five in 2004 to more than fifty in 2014, we have quickly grown into the premier nonprofit destination for high-achieving students and graduates to make a difference in their communities. After serving hundreds of thousands of families in all sixty-seven counties in Alabama, we've made the decision to expand Impact Alabama to other states and communities. Impact America was formed in 2014 with the mission to engage a generation for change.",Engaging a Generation for Change.,Impact America,Human Services,6,Social Services,29,Birmingham,AL,35209,85.98,3,,82,3,Educational Institutions and Related Activities,Educational Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),"Student Services, Organizations of Students",Contributions are deductible,501(c)(3),2032739.0,3364323.0,91.7,4
1,Four Corners Ministries exists to communicate and demonstrate the gospel of Jesus to unreached and under-equipped people groups.<br>,The Gospel Sent,Four Corners Ministries,Religion,9,Religious Activities,26,Opelika,AL,36801,89.04,3,,85,3,"Religion-Related, Spiritual Development",Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).","Organization that normally receives no more than one-third of its support from gross investment income and unrelated business income and at the same time more than one-third of its support from contributions, fees, and gross receipts related to exempt purposes.  509(a)(2)",Christian,Contributions are deductible,501(c)(3),2602296.0,1930948.0,96.1,4
2,"The Mobile Symphony Orchestra enhances lives by achieving the highest standards in live symphonic music and music education. Mobile Symphony was established in 1970 as Symphony Concerts of Mobile. Its mission was to present excellent touring orchestras for six evening concerts. Today, the Mobile Symphony Orchestra works to create an environment that allows for the presentation of the finest quality music, attract and hire exemplary musicians and high quality teachers, and expand music education and performance opportunities for all students.",Working to create an environment that allows for the presentation o the finest quality music,Mobile Symphony Orchestra,"Arts, Culture, Humanities",2,Performing Arts,4,Mobile,AL,36602,75.03,2,,89,3,"Arts, Culture and Humanities",Educational Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).","Organization that normally receives no more than one-third of its support from gross investment income and unrelated business income and at the same time more than one-third of its support from contributions, fees, and gross receipts related to exempt purposes.  509(a)(2)",Symphony Orchestras,Contributions are deductible,501(c)(3),1162334.0,1597054.0,66.45,1
3,Big Oak Ranch is a Christian home for children needing a chance. Because that's what we offer: a chance. To find a normal life. To find God's love. To find that we are all more than our circumstances: we are what we have the strength to become.,A Christian home for children needing a chance,Big Oak Ranch,Human Services,6,"Youth Development, Shelter, and Crisis Services",16,Springville,AL,35146,95.01,4,,93,4,Human Services - Multipurpose and Other,Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),Group Home (Long Term),Contributions are deductible,501(c)(3),49861768.0,22928887.0,99.11,4
4,"The Community Foundation of Greater Huntsville is a trusted leader in mobilizing generosity to improve the quality of life in our community. The Community Foundation has become a valued resource to increase community awareness, deepen community investment, and maximize community impact. <br><br>The Community Foundation supports our nonprofit community through grantmaking, funds to provide financial stability, and networking and professional development opportunities at the annual NAVIGATE Nonprofit Network Conference. In addition, the Community Foundation sponsors an annual Summit on Philanthropy to celebrate local philanthropy and provide an educational forum on smart and effective philanthropy.",A Smart Place to Give,Community Foundation of Greater Huntsville,Community Development,10,Community Foundations,22,Huntsville,AL,35801,95.47,4,,96,4,"Philanthropy, Voluntarism and Grantmaking Foundations",Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),Community Foundations,Contributions are deductible,501(c)(3),25229948.0,12989927.0,95.0,4
5,"The Tigers Unlimited Foundation provides support for Auburn University intercollegiate athletics. The Foundation supports extracurricular sports programs and activities including athletic scholarships, athletic program enhancements, athletic-related equipment purchases, and construction of athletic facilities.",Supporting Auburn University Athletics,Tigers Unlimited Foundation,Human Services,6,Multipurpose Human Service Organizations,15,Auburn,AL,36849,89.39,3,,85,3,"Philanthropy, Voluntarism and Grantmaking Foundations",Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),Single Organization Support ,Contributions are deductible,501(c)(3),83523190.0,63933997.0,100.0,4
6,"Neverthirst provides clean water through the building of water wells and other water projects for towns and villages in undeveloped countries such as Chad, Uganda, India, Cambodia and Nepal and Myanmar. It is Neverthirst's goal to provide both drinking water, and more importantly spiritual water to the residents in these areas. The process begins by choosing trusted indigenous partners in these countries. These individuals and organizations are committed to empowering communities through access to water that will continue to flow. After selecting local partners, the next step is to identify the people who need clean water the most and to establish a network of professionals to install the wells. Neverthirst also provides filtration systems while sharing the Gospel with the surrounding community.",Advancing the gospel through clean water worldwide,Neverthirst,International,7,Development and Relief Services,20,Birmingham,AL,35242,92.61,4,,97,4,,Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),,Contributions are deductible,501(c)(3),1019358.0,3016235.0,90.0,4
7,"Founded in 1982, the Mises Institute is the research and educational center of classical liberalism, libertarian political theory, and the Austrian School of economics. Working in the intellectual tradition of Ludwig von Mises (1881-1973) and Murray N. Rothbard (1926-1995), with a vast array of publications, programs, and fellowships, the Mises Institute seeks a radical shift in the intellectual climate as the foundation for a renewal of the free and prosperous commonwealth. It is the mission of the Mises Institute to restore a high place for theory in economics and the social sciences, encourage a revival of critical historical research, and draw attention to neglected traditions in Western philosophy.","Advancing Austrian Economics, Liberty, and Peace.",Mises Institute,Research and Public Policy,11,Social and Public Policy Research,24,Auburn,AL,36832,91.17,4,,97,4,,Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),,Contributions are deductible,501(c)(3),29369255.0,11178440.0,87.89,3
8,"Jones Valley Teaching Farm's mission is encouraging students to act as critical thinkers, problem solvers, and change agents in their communities. We accomplish this mission by partnering with schools to provide students with innovative and rigorous hands-on food and nutrition education. We believe that our city's greatest resources are inside our schools and that education must connect discoveries in the classroom to action in the community.","Encouraging students to act as critical thinkers, problem solvers, and change agents",Jones Valley Teaching Farm,Education,3,Youth Education Programs and Services,40,Birmingham,AL,35203,85.93,3,,85,3,"Employment, Job-Related",Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),Vocational Training,Contributions are deductible,501(c)(3),6180747.0,5006864.0,86.94,3
9,"Children's Harbor's mission is to serve seriously ill children and their families through unique, no-cost services. The Family Center provides patients and their families a place of respite, comfort, and fun. Mental health services are provided to patients and their families through licensed, illness-specific counselors. Other services offered include educational support, scheduled interactive activities, an exercise room, hair salon, nap rooms, library, laundry facilities, and play areas. The retreat facility at Lake Martin boasts 66 acres with extensive water frontage, two zero-entry swimming pools, handicap accessible tree house, miniature golf, basketball and volleyball courts, canoeing, activity rooms and more for families and children to reconnect and meet other families with similar diagnoses. These illness populations include children with cancer, organ transplants, autism, serious burns, the visually impaired, spinal cord injuries, among others.",Serving Seriously Ill Children and Their Families,Children's Harbor,Health,5,Patient and Family Support,34,Alexander City,AL,35010,81.15,3,,85,3,Health - General and Rehabilitative,Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),"Patient Services - Entertainment, Recreation",Contributions are deductible,501(c)(3),19513569.0,3679452.0,77.97,2
