,0,1,2
0,Impact America,91.7,4
1,Four Corners Ministries,96.1,4
2,Mobile Symphony Orchestra,66.45,1
3,Big Oak Ranch,99.11,4
4,Community Foundation of Greater Huntsville,95.0,4
5,Tigers Unlimited Foundation,100.0,4
6,Neverthirst,90.0,4
7,Mises Institute,87.89,3
8,Jones Valley Teaching Farm,86.94,3
9,Children's Harbor,77.97,2
10,McWane Science Center,87.29,3
11,Red Mountain Theatre Company,99.19,4
12,Evangelism Missions Inc.,87.5,3
13,Birmingham Zoo,94.61,4
14,People for Care and Learning,97.5,4
15,"Boy Scouts of America, Black Warrior Council",68.22,1
16,Girl Scouts of North-Central Alabama,90.73,4
17,United Way of Central Alabama,97.5,4
18,Boys & Girls Clubs of Central Alabama,100.0,4
19,"Boy Scouts of America, Greater Alabama Council",83.77,3
20,Tukabatchee Area Council Boy Scouts of America,82.5,3
21,United Methodist Children's Home,87.07,3
22,Presbyterian Home for Children,89.78,3
23,United Ability,96.31,4
24,United Way of West Alabama,91.43,4
25,River Region United Way,84.83,3
26,Covenant House Alaska,85.66,3
27,Fairbanks Rescue Mission,94.21,4
28,United Way of Anchorage,76.26,2
29,Missionary Aviation Repair Center,83.62,3
30,Catholic Social Services of Anchorage,92.46,4
31,Iditarod Trail Committee,62.47,1
32,Alaska Conservation Foundation,81.68,3
33,Southeast Alaska Conservation Council,82.94,3
34,The Tundra Women's Coalition,85.77,3
35,Bean's Cafe,81.62,3
36,Food Bank of Alaska,89.39,3
37,Fairbanks Community Food Bank Service,84.72,3
38,Koahnic Broadcast Corporation,81.54,3
39,Habitat for Humanity Anchorage,76.28,2
40,Victory Ministries of Alaska,87.07,3
41,"Arctic Barnabas Ministries, Inc.",66.45,1
42,United Way of the Tanana Valley,67.82,1
43,Trustees for Alaska,83.39,3
44,Friends of Public Radio Arizona,97.5,4
45,Ryan House,85.91,3
46,Esperança,87.5,3
47,Arizona Animal Welfare League & SPCA,97.01,4
48,Arizona Opera,90.19,4
49,100 Club of Arizona,85.95,3
50,St. Mary's Food Bank Alliance,91.43,4
51,Langham Partnership,73.48,2
52,Camp Soaring Eagle Foundation,52.12,0
53,Homeless Youth Connection,97.5,4
54,Center for Biological Diversity ,100.0,4
55,Southwest Autism Research & Resource Center,86.57,3
56,Make Way for Books,97.35,4
57,Family Life Broadcasting System,92.49,4
58,Feeding America's Hungry Children,82.5,3
59,Hope 4 Kids International,95.0,4
60,Desert Foothills Library Association,94.35,4
61,Community Food Bank of Southern Arizona,90.0,4
62,TheatreSquared,97.24,4
63,Mid-America Science Museum,91.06,4
64,Ron Hutchcraft Ministries,86.92,3
65,IHCF African Christian Hospitals,91.6,4
66,"Boy Scouts of America, Quapaw Area Council",81.15,3
67,Heifer International,76.98,2
68,Food Bank of North Central Arkansas,76.08,2
69,Health Talents International,92.11,4
70,"Boy Scouts of America, Westark Area Council",78.99,2
71,United Way of Southeast Arkansas,87.28,3
72,Donald W. Reynolds Boys & Girls Club,86.21,3
73,Camp Aldersgate,75.82,2
74,Arkansas Baptist Children's Homes and Family Ministries,90.76,4
75,United Way of Northwest Arkansas,82.5,3
76,United Way of Fort Smith Area,92.08,4
77,"Union Rescue Mission, Little Rock",97.13,4
78,"Children's Homes, Inc.",79.5,2
79,Museum of Discovery,80.43,3
80,Lifeword Media Ministries,95.55,4
81,Humane Society of Pulaski County,90.43,4
82,Mays Mission for the Handicapped,77.77,2
83,Arkansas Sheriffs' Youth Ranches,77.23,2
84,Arkansas Repertory Theatre Company,68.76,1
85,Ronald McDonald House Charities of Arkansas,93.85,4
86,Razorback Foundation,97.58,4
87,Arkansas Foodbank,97.28,4
88,Student Mobilization,92.5,4
89,"Our House, Arkansas",99.74,4
90,Arkansas Special Olympics,91.23,4
91,Northwest Arkansas Food Bank,95.0,4
92,Arkansas Single Parent Scholarship Fund Program,92.16,4
93,Truth for Today World Mission School,100.0,4
94,San Diego River Park Foundation,97.47,4
95,StandWithUs,93.8,4
96,The Akshaya Patra Foundation USA,95.0,4
97,The San Francisco Foundation,99.14,4
98,Alliance for California Traditional Arts,84.75,3
99,Out & Equal Workplace Advocates,94.05,4
100,City of Hope,91.01,4
101,Family Independence Initiative,93.57,4
102,Urgent Action Fund for Women's Human Rights ,99.91,4
103,Electronic Frontier Foundation,91.74,4
104,HOPE worldwide,89.48,3
105,Creative Commons,95.3,4
106,ENLACE USA,81.92,3
107,826 Valencia,95.47,4
108,Transgender Law Center,88.97,3
109,Return to Freedom,82.24,3
110,KickStart International,77.5,2
111,Coalition to Abolish Slavery and Trafficking (Cast),87.68,3
112,National Center for Science Education,77.04,2
113,Castleton Ranch Horse Rescue Inc.,78.72,2
114,Fogarty Institute for Innovation,72.24,2
115,Food First,93.82,4
116,Centre Pompidou Foundation,92.73,4
117,Covenant House California,95.0,4
118,American Friends of Neve Shalom/Wahat al-Salam,90.89,4
119,Robert Toigo Foundation,93.31,4
120,Just Detention International,95.0,4
121,ZOE International,94.64,4
122,Teddy Bear Cancer Foundation,78.64,2
123,Will Rogers Motion Picture Pioneers Foundation,70.28,2
124,Wikimedia Foundation,97.37,4
125,Warrior Foundation Freedom Station,96.35,4
126,Mozilla Foundation,96.04,4
127,Operation Gratitude,100.0,4
128,ECOLIFE Conservation,75.48,2
129,Kokua Hawai?i Foundation,96.61,4
130,Campaign for College Opportunity,97.5,4
131,One Heart Worldwide,95.0,4
132,"TGR Foundation, A Tiger Woods Charity",90.15,4
133,Cambodian Children's Fund,92.17,4
134,Soil Born Farms Urban Agriculture & Education Project,83.77,3
135,Global Solutions for Infectious Diseases,81.35,3
136,St. Baldrick's Foundation,65.42,1
137,ShareWell,72.22,2
138,Voice of San Diego,94.27,4
139,Los Angeles Ballet,70.47,2
140,Generation Rescue,69.11,1
141,Tipping Point Community,97.5,4
142,Institute for Middle East Understanding,99.96,4
143,Lazarex Cancer Foundation,90.74,4
144,Turtle Conservancy,93.72,4
145,Mujeres Unidas Y Activas,99.42,4
146,Support The Enlisted Project (STEP),89.6,3
147,Courage Worldwide,78.11,2
148,Jewish World Watch,86.2,3
149,Asylum Access,84.5,3
150,WildAid,100.0,4
151,Good Neighbors USA,95.0,4
152,Jacobs & Cushman San Diego Food Bank,97.5,4
153,GO2 Foundation for Lung Cancer,90.0,4
154,LA Promise Fund,91.41,4
155,Global Heritage Fund,64.54,1
156,Living Goods,95.0,4
157,Silicon Valley Education Foundation,91.11,4
158,Foundation for Animal Care and Education,84.67,3
159,Genders & Sexualities Alliance Network,90.34,4
160,Just in Time for Foster Youth,80.54,3
161,Not For Sale,95.23,4
162,Abandoned Children's Fund,80.0,3
163,Sentinels of Freedom Scholarship Foundation,94.42,4
164,Messianic Jewish Bible Society,92.11,4
165,No Barriers USA,81.1,3
166,United States Olympic Committee,93.45,4
167,American Alpine Club,75.17,2
168,Environment America Research and Policy Center,72.31,2
169,US Bobsled and Skeleton Federation,90.93,4
170,Nurse-Family Partnership,94.4,4
171,The Cable Center,79.31,2
172,Davis Phinney Foundation,85.04,3
173,Book Trust,86.78,3
174,SECOR,85.0,3
175,PeopleForBikes,100.0,4
176,Roundup River Ranch,82.38,3
177,The Phoenix,86.17,3
178,Animal Friends Alliance,84.99,3
179,Denver Scholarship Foundation,88.48,3
180,Vail Veterans Foundation,97.71,4
181,Conservation Lands Foundation,99.57,4
182,Association of Waldorf Schools of North America,85.04,3
183,Green Corps,78.75,2
184,Development Associates International,80.0,3
185,High Country News,67.57,1
186,The Action Center,80.0,3
187,Aspen Center for Environmental Studies,86.22,3
188,United Way of Southwest Colorado,92.32,4
189,Big Brothers Big Sisters of Colorado,72.1,2
190,Anderson Ranch Arts Center,78.48,2
191,WILD Foundation,92.44,4
192,Pro Athletes Outreach,83.28,3
193,National Mill Dog Rescue,93.84,4
194,Project Sanctuary,92.5,4
195,Colorado Education Initiative,85.0,3
196,LiveWell Colorado,81.32,3
197,Alliance for Climate Education,72.85,2
198,Optometry Giving Sight,72.77,2
199,FORGE,77.5,2
200,Family Resource Center Association,82.42,3
201,Children's HopeChest,84.18,3
202,World Orphans,87.03,3
203,Western Conservation Foundation,92.5,4
204,Build Change,78.82,2
205,Youth for Christ USA,82.42,3
206,Compassion International,84.59,3
207,Bibles For The World,82.54,3
208,National Wheelchair Basketball Association,67.42,1
209,Paraclete Mission Group,93.17,4
210,God's Littlest Angels,80.21,3
211,IDEAS,60.07,1
212,Officers' Christian Fellowship,93.97,4
213,The Alliance Center,81.81,3
214,Adventure Unlimited,86.7,3
215,Healing Waters International,88.71,3
216,The Food Bank of Lower Fairfield County,82.5,3
217,Coast Guard Foundation,76.84,2
218,Ronald McDonald Charities of Connecticut and Western Massachusetts Inc,62.08,1
219,The ALS Association Connecticut Chapter,86.98,3
220,Planned Parenthood of Southern New England,87.3,3
221,Mattatuck Museum,87.1,3
222,Hartford Symphony Orchestra,80.78,3
223,United Way of Western Connecticut,90.72,4
224,The Greenwich United Way,91.87,4
225,"Catholic Charities, Diocese of Norwich",71.92,2
226,Fairfield Museum and History Center,91.58,4
227,The United Way of Greater Waterbury,90.0,4
228,United Way of Central and Northeastern Connecticut,78.97,2
229,Boys & Girls Club of Greenwich,89.53,3
230,"The Federation, Jewish Communities of Western Connecticut",87.87,3
231,United Way of Greater New Haven,85.72,3
232,"Boy Scouts of America, Connecticut Yankee Council",80.0,3
233,Boys & Girls Club of Stamford,90.72,4
234,Yale-China Association,96.3,4
235,Jewish Federation of Greater New Haven,84.52,3
236,Wadsworth Atheneum,92.85,4
237,Mystic Seaport Museum,79.43,2
