,0,1,2,3,4
0,Impact America,82,3,91.7,4
1,Four Corners Ministries,85,3,96.1,4
2,Mobile Symphony Orchestra,89,3,66.45,1
3,Big Oak Ranch,93,4,99.11,4
4,Community Foundation of Greater Huntsville,96,4,95.0,4
5,Tigers Unlimited Foundation,85,3,100.0,4
6,Neverthirst,97,4,90.0,4
7,Mises Institute,97,4,87.89,3
8,Jones Valley Teaching Farm,85,3,86.94,3
9,Children's Harbor,85,3,77.97,2
10,McWane Science Center,89,3,87.29,3
11,Red Mountain Theatre Company,89,3,99.19,4
12,Evangelism Missions Inc.,43,0,87.5,3
13,Birmingham Zoo,100,4,94.61,4
14,People for Care and Learning,70,2,97.5,4
15,"Boy Scouts of America, Black Warrior Council",81,3,68.22,1
16,Girl Scouts of North-Central Alabama,96,4,90.73,4
17,United Way of Central Alabama,100,4,97.5,4
18,Boys & Girls Clubs of Central Alabama,100,4,100.0,4
19,"Boy Scouts of America, Greater Alabama Council",85,3,83.77,3
20,Tukabatchee Area Council Boy Scouts of America,66,1,82.5,3
21,United Methodist Children's Home,100,4,87.07,3
22,Presbyterian Home for Children,85,3,89.78,3
23,United Ability,96,4,96.31,4
24,United Way of West Alabama,85,3,91.43,4
25,River Region United Way,100,4,84.83,3
26,Covenant House Alaska,100,4,85.66,3
27,Fairbanks Rescue Mission,70,2,94.21,4
28,United Way of Anchorage,100,4,76.26,2
29,Missionary Aviation Repair Center,66,1,83.62,3
30,Catholic Social Services of Anchorage,96,4,92.46,4
31,Iditarod Trail Committee,89,3,62.47,1
32,Alaska Conservation Foundation,100,4,81.68,3
33,Southeast Alaska Conservation Council,100,4,82.94,3
34,The Tundra Women's Coalition,86,3,85.77,3
35,Bean's Cafe,93,4,81.62,3
36,Food Bank of Alaska,96,4,89.39,3
37,Fairbanks Community Food Bank Service,92,4,84.72,3
38,Koahnic Broadcast Corporation,97,4,81.54,3
39,Habitat for Humanity Anchorage,85,3,76.28,2
40,Victory Ministries of Alaska,71,2,87.07,3
41,"Arctic Barnabas Ministries, Inc.",74,2,66.45,1
